Namn;Kön;Född;Specialkost;Övrigt
Leif Mattsson;Man;1961;Vegan;Kommer med partner
Magnus Bergqvist;Man;2012;Vegan;Behöver nära toalett
Sofia Lindström;Kvinna;2019;Nötfri;
Daniel Persson;Man;1997;Nötfri;
Patrik Lindgren;Man;2020;Mild mat;Kommer med rullstol
Roger Mattsson;Man;1958;;
Håkan Bergman;Man;1966;Glutenfri;
Rut Nilsson;Kvinna;1978;Mild mat;
Maria Nilsson;Kvinna;1990;;
Ingrid Persson;Kvinna;1948;Nötfri;VIP-inbjudan
Christer Sjöberg;Man;1971;Glutenfri;Behöver extra benutrymme
Roger Nyström;Man;1969;;
Hedvig Holm;Kvinna;1942;;
Henrik Magnusson;Man;1971;;Önskar namnskylt på bordet
Ulrika Lindberg;Kvinna;1955;Vegan;
Ella Nilsson;Kvinna;2013;;Föredrar lugn plats
Sven Lindgren;Man;1964;Vegetarisk;Deltar ej i minglet
Sven Andersson;Man;1988;Glutenfri;Önskar plats i mitten av salen
Ulf Olsson;Man;2004;Nötfri;
Agneta Axelsson;Kvinna;2006;Vegan;Står på väntelista för plats
Erik Björk;Man;1988;;Sen ankomst ca 18:30
Lars Wikström;Man;1981;Glutenfri;
Astrid Lindgren;Kvinna;1956;;
Bengt Forsberg;Man;1962;;Önskar plats nära scen
Ida Lindström;Kvinna;1953;;
Emma Sjöberg;Kvinna;1947;;
Per Olsson;Man;2003;;
Eva Fransson;Kvinna;2010;;
Per Andersson;Man;1974;Mild mat;
Anna Magnusson;Kvinna;1980;Vegan;
Alma Johansson;Kvinna;1971;;Kommer med partner
Oskar Hansson;Man;1986;;Önskar plats nära scen
Oskar Magnusson;Man;1972;Vegan;
Ella Isaksson;Kvinna;2011;Vegetarisk;Önskar plats i mitten av salen
Karin Lindström;Kvinna;1967;Nötfri;Kommer med två gäster till
Britt Lundgren;Kvinna;1982;Vegetarisk;
Per Persson;Man;1950;;
Emil Jönsson;Man;1974;;
Monica Jansson;Kvinna;1954;Mild mat;
Hanna Lund;Kvinna;1991;;
Jan Isaksson;Man;1966;Vegan;
Arvid Holm;Man;1977;Vegetarisk;Parkering önskas
Birgitta Sandberg;Kvinna;1973;;
Ulrika Pettersson;Kvinna;2002;;Kommer från annan ort
Roger Karlsson;Man;1960;Vegetarisk;
Malin Jansson;Kvinna;2018;Laktosfri;
Hanna Fransson;Kvinna;1964;Nötfri;
Göran Wallin;Man;1997;Laktosfri;
Gustav Jansson;Man;1968;;VIP-inbjudan
Erik Forsberg;Man;1965;Glutenfri;Önskar namnskylt på bordet
Astrid Söderberg;Kvinna;1994;Mild mat;
Jenny Lindgren;Kvinna;2003;;
Christer Bergqvist;Man;1983;Laktosfri;
Johan Nilsson;Man;2017;;
Hedvig Wallin;Kvinna;1976;;Sen ankomst ca 18:30
Mats Bergqvist;Man;1952;Nötfri;
Annika Karlsson;Kvinna;1969;;Kommer från annan ort
Selma Karlsson;Kvinna;1996;;
Hanna Lindström;Kvinna;1981;;
Håkan Lindgren;Man;1988;;
Olof Sandberg;Man;1959;Glutenfri;
Britt Nilsson;Kvinna;1960;Laktosfri;
Karin Engström;Kvinna;1989;Laktosfri;Hörselnedsättning – sitt gärna till vänster
Leif Sandberg;Man;2005;Vegan;
Mats Lindberg;Man;1961;Glutenfri;
Annika Persson;Kvinna;1951;Vegetarisk;
Emma Eriksson;Kvinna;1976;;Medföljare: ett barn
Moa Axelsson;Kvinna;1945;;
Selma Fransson;Kvinna;1979;;Foto tillåts inte
Nora Lund;Kvinna;1963;Glutenfri;Kommer med rullstol
Ella Lindström;Kvinna;2009;Vegan;Bosatt utanför kommunen
Göran Lindgren;Man;1970;Glutenfri;Står på väntelista för plats
Christer Wallin;Man;1987;Vegan;
Emma Axelsson;Kvinna;1943;;Behöver extra benutrymme
Göran Jansson;Man;1990;Mild mat;Ny i föreningen
Alma Björk;Kvinna;2001;Mild mat;
Stefan Gunnarsson;Man;1946;Vegan;
Bo Isaksson;Man;1994;Laktosfri;Sen ankomst ca 18:30
Selma Persson;Kvinna;1957;Mild mat;
Erik Magnusson;Man;2015;;
Daniel Lindqvist;Man;1973;Nötfri;
Malin Sjöberg;Kvinna;1978;Mild mat;
Johan Pettersson;Man;2016;;Firar 50-årsdag
Thomas Nilsson;Man;1941;;
Jan Bergqvist;Man;1944;Laktosfri;
Lina Söderberg;Kvinna;1949;Mild mat;
Thomas Lundgren;Man;2008;Glutenfri;Behöver assistans vid inpassering
Monica Johansson;Kvinna;2014;;Deltar ej i minglet
Henrik Lund;Man;2007;;
Mats Sandberg;Man;2023;;Kommer från annan ort
Tilda Bergman;Kvinna;1975;;
Björn Björk;Man;1979;Vegan;
Oscar Berg;Man;2004;Vegan;Gäst till ordföranden
Kerstin Eriksson;Kvinna;2001;;
Leif Magnusson;Man;1985;;
Frida Isaksson;Kvinna;2021;Glutenfri;Önskar plats nära scen
Lars Nyström;Man;1998;;Behöver extra benutrymme
Karl Andersson;Man;1984;Nötfri;
Johan Wikström;Man;2022;Nötfri;Föredrar lugn plats
Astrid Bergman;Kvinna;1966;Nötfri;
